"","Cell","Batch","Group","ExpLibSize"
"Cell1","Cell1","Batch1","Group1",44056.9562500129
"Cell2","Cell2","Batch1","Group2",48810.2014502247
"Cell3","Cell3","Batch1","Group1",68101.2782413879
"Cell4","Cell4","Batch1","Group2",72160.9203942508
"Cell5","Cell5","Batch1","Group2",68844.6974346461
"Cell6","Cell6","Batch1","Group2",46025.2147344437
"Cell7","Cell7","Batch1","Group1",51882.7538702652
"Cell8","Cell8","Batch1","Group1",78451.6609620499
"Cell9","Cell9","Batch1","Group1",46538.3323428896
"Cell10","Cell10","Batch1","Group2",42312.7536305756
"Cell11","Cell11","Batch1","Group2",58635.1681842401
"Cell12","Cell12","Batch1","Group2",62605.5620015583
"Cell13","Cell13","Batch1","Group2",61151.624122922
"Cell14","Cell14","Batch1","Group1",64371.5732448963
"Cell15","Cell15","Batch1","Group2",52560.192636016
"Cell16","Cell16","Batch1","Group2",66441.2818768948
"Cell17","Cell17","Batch1","Group1",69912.6073983431
"Cell18","Cell18","Batch1","Group1",88896.492751068
"Cell19","Cell19","Batch1","Group1",54326.7567579616
"Cell20","Cell20","Batch1","Group2",63239.465334912
"Cell21","Cell21","Batch1","Group2",69410.8753046245
"Cell22","Cell22","Batch1","Group2",64466.7457490034
"Cell23","Cell23","Batch1","Group2",96661.2504007321
"Cell24","Cell24","Batch1","Group1",53793.1847406326
"Cell25","Cell25","Batch1","Group1",60257.7230720582
"Cell26","Cell26","Batch1","Group1",50050.5728469433
"Cell27","Cell27","Batch1","Group2",59790.2045990069
"Cell28","Cell28","Batch1","Group1",79244.3441922102
"Cell29","Cell29","Batch1","Group1",35448.4125651672
"Cell30","Cell30","Batch1","Group2",51640.7196955834
"Cell31","Cell31","Batch1","Group2",50899.3360505471
"Cell32","Cell32","Batch1","Group2",65528.8292427267
"Cell33","Cell33","Batch1","Group2",68348.7880781307
"Cell34","Cell34","Batch1","Group2",41908.3830574802
"Cell35","Cell35","Batch1","Group1",42195.9878241074
"Cell36","Cell36","Batch1","Group2",56170.6680061962
"Cell37","Cell37","Batch1","Group1",48650.1507296949
"Cell38","Cell38","Batch1","Group1",54349.5439380089
"Cell39","Cell39","Batch1","Group2",48780.6335154921
"Cell40","Cell40","Batch1","Group2",68230.287553074
"Cell41","Cell41","Batch1","Group1",67665.8969620723
"Cell42","Cell42","Batch1","Group2",65529.7534114057
"Cell43","Cell43","Batch1","Group1",49486.5963727894
"Cell44","Cell44","Batch1","Group1",98859.7963371941
"Cell45","Cell45","Batch1","Group1",49277.828424022
"Cell46","Cell46","Batch1","Group1",52713.8437521508
"Cell47","Cell47","Batch1","Group1",65646.0980698026
"Cell48","Cell48","Batch1","Group1",82811.4313686348
"Cell49","Cell49","Batch1","Group2",47131.1141160037
"Cell50","Cell50","Batch1","Group1",52530.3822843974
"Cell51","Cell51","Batch1","Group1",35624.2350069052
"Cell52","Cell52","Batch1","Group1",72012.3050765056
"Cell53","Cell53","Batch1","Group2",45661.7396618949
"Cell54","Cell54","Batch1","Group2",71484.6024695136
"Cell55","Cell55","Batch1","Group1",72708.5127412187
"Cell56","Cell56","Batch1","Group2",49315.4325498581
"Cell57","Cell57","Batch1","Group1",66808.3643310759
"Cell58","Cell58","Batch1","Group2",55990.4819584863
"Cell59","Cell59","Batch1","Group1",61550.4601779783
"Cell60","Cell60","Batch1","Group2",73555.0965986205
"Cell61","Cell61","Batch1","Group1",60528.7863245907
"Cell62","Cell62","Batch1","Group1",47079.212760431
"Cell63","Cell63","Batch1","Group2",64370.5656512984
"Cell64","Cell64","Batch1","Group2",62461.5046318009
"Cell65","Cell65","Batch1","Group1",51576.4293011629
"Cell66","Cell66","Batch1","Group1",48033.3027245311
"Cell67","Cell67","Batch1","Group1",70022.8724506862
"Cell68","Cell68","Batch1","Group2",56086.7671982603
"Cell69","Cell69","Batch1","Group2",80071.8757294954
"Cell70","Cell70","Batch1","Group1",50048.6851968746
"Cell71","Cell71","Batch1","Group1",59844.0550986894
"Cell72","Cell72","Batch1","Group1",88526.351809383
"Cell73","Cell73","Batch1","Group1",76746.7903044213
"Cell74","Cell74","Batch1","Group2",69124.7197247758
"Cell75","Cell75","Batch1","Group1",43309.8466983564
"Cell76","Cell76","Batch1","Group1",62022.502071548
"Cell77","Cell77","Batch1","Group1",68894.5459234943
"Cell78","Cell78","Batch1","Group1",44747.8409810709
"Cell79","Cell79","Batch1","Group1",56789.9305114991
"Cell80","Cell80","Batch1","Group2",52532.6091124098
"Cell81","Cell81","Batch1","Group1",58886.2028937412
"Cell82","Cell82","Batch1","Group2",64198.7548460349
"Cell83","Cell83","Batch1","Group1",49271.9824388014
"Cell84","Cell84","Batch1","Group2",63820.1853236541
"Cell85","Cell85","Batch1","Group2",82289.0449040261
"Cell86","Cell86","Batch1","Group2",85247.7218673158
"Cell87","Cell87","Batch1","Group1",70030.7869566198
"Cell88","Cell88","Batch1","Group1",57194.3386988318
"Cell89","Cell89","Batch1","Group1",62659.1336334179
"Cell90","Cell90","Batch1","Group2",51703.8334594013
"Cell91","Cell91","Batch1","Group1",66492.2918168457
"Cell92","Cell92","Batch1","Group2",59812.885023811
"Cell93","Cell93","Batch1","Group1",40279.8202167143
"Cell94","Cell94","Batch1","Group1",74213.9015166234
"Cell95","Cell95","Batch1","Group2",53728.5495277484
